45A230B00-3,PO,PRI,1161,0.9,135,culenb8r1
35L151B00-4,PO,PRI,1106,0.9,135,culenb8r1
35L151B00-3,PO,PRI,1106,0.9,135,culenb8r1
35L151B00-1,PO,PRI,1106,0.9,135,culenb8r1
35L151B00-2,PO,PRI,1106,0.9,135,culenb8r1
31RE80B00-2,PO,PRI,1235,0.9,1090,culenb8r1
45A229A10-1,PO,PRI,1067,0.9,135,culenb8r1
45A229A10-2,PO,PRI,1067,0.9,135,culenb8r1
45A231B00-1,PO,CGR,1147,0.9,1090,culenb8r1
45A231B00-3,PO,CGR,1147,0.9,1090,culenb8r1
46A407A00-1,PO,CGR,1196,0.9,135,culenb8r1
46A408D00-1,PO,CGR,1159,0.9,135,culenb8r1
46A408D00-2,PO,CGR,1159,0.9,135,culenb8r1
46A408D00-4,PO,CGR,1159,0.9,135,culenb8r1
46A407A00-2,PO,CGR,1196,0.9,135,culenb8r1
45A231A00-1,PO,CGR,1131,0.9,135,culenb8r1
45A231A00-2,PO,CGR,1131,0.9,135,culenb8r1
45A231C00-1,PO,CGR,1124,0.9,135,culenb8r1
45A231C00-2,PO,CGR,1124,0.9,135,culenb8r1
45A231C00-3,PO,CGR,1124,0.9,135,culenb8r1
4AA508A10-3,PO,BBR,1232,0.9,135,culenb8r1
4AA508A10-4,PO,BBR,1232,0.9,135,culenb8r1
4AA528D00-1,PO,BBR,1058,0.9,135,culenb8r1
4AA528D00-2,PO,BBR,1058,0.9,135,culenb8r1
4AA528D00-3,PO,BBR,1058,0.9,135,culenb8r1
4AA528D00-4,PO,BBR,1058,0.9,135,culenb8r1
33B329D20-1,PO,BBR,1024,0.9,135,culenb8r1
33B329D20-2,PO,BBR,1024,0.9,135,culenb8r1
4AA508A10-2,PO,BBR,1232,0.9,135,culenb8r1
4AA508A10-1,PO,BBR,1232,0.9,135,culenb8r1
2CA388A00-3,PO,BBR,1195,0.9,135,culenb8r1
2CA388A00-2,PO,BBR,1195,0.9,135,culenb8r1
2CA389E00-4,PO,BBR,973,0.9,135,culenb8r1
48A020A00-2,PO,SGR,1100,0.9,135,culenb8r1
35L153B00-1,PO,SGR,1165,0.9,135,culenb8r1
